,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
5573,4000,85000,1,60,1,0,0,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
5574,6032,90000,1,60,1,0,1,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
5577,5300,99000,1,45,1,1,1,Andenne,Namur,namur,9.0,wallonie,1.0,1.0,-1.977658938944886
5580,1080,87500,1,42,1,0,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
5581,1080,87500,1,42,1,0,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
5582,6061,75000,2,65,1,1,0,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
5584,8660,94950,1,30,1,1,1,De Panne,Veurne,flandre-occidentale,0.0,flandre,0.0,36.0,-2.0057725474178842
5585,8660,95000,1,30,1,1,1,De Panne,Veurne,flandre-occidentale,0.0,flandre,0.0,36.0,-2.0057725474178842
5586,8434,98000,1,28,1,0,1,Middelkerke,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-1.6220992740064766
5587,6060,90000,2,82,1,1,0,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
5589,6040,70000,1,45,0,0,1,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
5593,8434,94000,1,33,0,1,1,Middelkerke,Oostende,flandre-occidentale,0.0,flandre,0.0,37.0,-1.6220992740064766
5597,1850,85000,1,34,0,0,1,Grimbergen,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.5559733444546424
5598,8370,95000,2,50,1,0,1,Blankenberge,Brugge,flandre-occidentale,0.0,flandre,0.0,28.0,-2.1740595392186783
5599,4500,99000,3,210,1,0,0,Huy,Huy,liege,4.0,wallonie,1.0,15.0,-2.1119851124813955
5600,6000,99000,2,91,1,0,0,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
