,0
0,"Qu'est-ce qui est jaune et qui attend ?
Tes dents qui attendent chez le dentiste !"
1,"Quelle est la différence entre ma femme et une vidéo YouTube ?
La vidéo on peut la mettre en sourdine !"
2,"Un belge s'appuie sur le mur, lequel cède en premier ?
Le mur ! C'est le plus intelligent qui cède !"
3,"Deux chèvres, BABI et BABA sont sur un bateau.
BABA tombe dans l'eau.
Que se passe-t-il ?
BABYBEL !"
4,"Un homme demande à un avocat :
« Quel est le montant de vos honoraires ? »
L'avocat lui répond qu'il est de 1000€ pour trois questions.
L'homme lui demande alors :
« N'est-ce pas un peu excessif ? »
Et l'avocat lui répond :
« Non. Quelle est votre troisième question ? »"
5,Ton père est tellement vieux qu’il pète de la poussière.
6,"Qu’est-ce qu’un homme intelligent en Belgique ?
Un touriste."
7,"Bonjour, vous avez des céréales hallal ?
Oui, j’ai aussi des tartines tines tines et de la confiture ture ture…"
8,Ton frère est tellement bête que quand il joue avec le chien c'est lui qui va chercher la balle !
9,Ta mère est tellement radine que quand elle va aux toilettes elle utilise les deux côtés du papier toilette !
10,"Comment est-ce que la chouette sait que son mari fait la gueule ?
Parce qu’hiboude !"
11,"La maîtresse demande de construire une phrase avec l'adjectif épithète.
Nicolas lève le doigt et dit :
Aujourd'hui il pleut, épithète demain, il fera beau !"
12,"C'est un belge qui va chez le docteur et lui dit :
- Bonjour docteur je pense que je perd la mémoire ! Le docteur lui repond :
- À bon et depuis quand ? Et Le belge répond :
- Depuis quand quoi ? 👨‍⚕️"
13,"Qu'est-ce qui est vert et qui devient rouge quand on appui sur le bouton ?
Une grenouille dans un mixer ! 🐸"
14,Ta mère elle est tellement grosse que quand elle tombe du lit elle tombe des deux côtés !
15,"Pourquoi les grenouilles ont toujours les fesses dans l’eau ?
Pour garder la raie nette 🐸 !"
16,"Si les cons étaient fluorescents, la Terre 🌍 illuminerait le Soleil 🌞 !"
17,"Qu'est-ce qui est jaune et qui fait crac crac ?
Un poussin qui mange des chips ! 🐤"
18,"Quelle partie du légume ne va pas au mixeur !?
La chaise roulante ! 🧐"
19,"Tu veux que je te raconte une blague vaseuse ?
Mets tes bottes !"
20,"On m'achète pour manger mais on ne me mange jamais. Qui suis-je ?
Une assiette !"
21,Ta mère est tellement poilu que quand elle promène le chien c'est elle qu'on caresse 🐶🐕
22,"Luc, Jean et Paul vont au bowling.
Qui gagne ?
Luc, parce que Luc y Strike !"
23,"Un monsieur entre dans un café.
Plouf !"
24,"Comment se nomme la Barbie la plus poilue ? 👯
La Barbie chette ! 🧔"
25,"Tu as 4 poussins et tu n'en veux que 3, comment faire ?
Tu en pousses un 🐥🐤🐣"
26,"Un jour quelqu'un a dit à Inch d'aller à Marrakech...
Et Inch alla ! 🇲🇦"
27,"Pourquoi il n'y a plus de Mammouth ? 🐘
Parce qu'il n'y a plus de Papouth."
28,"Vous connaissez l'histoire de l'armoire ?
Elle n'est pas commode..."
29,"Comment appelle-t-on un combat entre un petit pois et une carotte ? 🥕
Un bon duel !"
30,"Quel légume va très vite et rigole dans les virages ?
Un chou marreur !"
31,"C'est l'histoire d'un poil. Avant, il était bien.
Maintenant, il est pubien."
32,"Que fait une lampe qui se fait agresser ? 💡
Elle crie à LED !"
